subject_category	subject_id	subject_label	subject_type	predicate_id	object_id	object_label	object_type	confidence	comment	mapping_justification	mapping_date	creator_id
Roles of People (Creator)	schema:creator/schema:Role/schema:creator/schema:Person/schema:givenName	givenName	schema:Text	skos:exactMatch	par:givenName	givenName	res:i18nNonEmptyStringType	1	Definitions and types match.	semapv:ManualMappingCuration	2023-08-31	https://orcid.org/0000-0003-2261-9931
Roles of People (Creator)	schema:creator/schema:Role/schema:creator/schema:Person/schema:honorificPrefix	honorificPrefix	schema:Text	skos:exactMatch	par:salutation	salutation	res:i18nNonEmptyStringType	1	Definitions and types match.	semapv:ManualMappingCuration	2023-08-31	https://orcid.org/0000-0003-2261-9931
Roles of People (Creator)	schema:creator/schema:Role/schema:creator/schema:Person/schema:honorificSuffix	honorificSuffix	schema:Text	skos:exactMatch	sssom:NoMapping			1	No match can be found.	semapv:ManualMappingCuration	2023-08-31	https://orcid.org/0000-0003-2261-9931
Roles of People (Creator)	schema:creator/schema:Role/schema:creator/schema:Person/schema:identifier/schema:PropertyValue/schema:url	url	schema:URL	skos:broadMatch	par:userId	userId	xs:string	1	Definitions match but object type is broader.  Note, the object's value can be a URL and thus form an exact match.	semapv:ManualMappingCuration	2023-08-31	https://orcid.org/0000-0003-2261-9931
Roles of People (Creator)	schema:creator/schema:Role/schema:creator/schema:Person/schema:identifier/schema:PropertyValue/schema:value	value	schema:Text	skos:exactMatch	par:userId	userId	xs:string	1	Definitions and types match.  Note, if the object's value is URL, the optimal location is at schema:PropertyValue/schema:url.	semapv:ManualMappingCuration	2023-08-31	https://orcid.org/0000-0003-2261-9931
Roles of People (Creator)	schema:creator/schema:Role/schema:creator/schema:Person/schema:identifier/schema:PropertyValue/schema:propertyID	propertyID	schema:Text schema:URL	skos:exactMatch	par:directory	directory	xs:string	1	Definitions and types match.	semapv:ManualMappingCuration	2023-08-31	https://orcid.org/0000-0003-2261-9931
Roles of People (Contributor)	schema:contributor	contributor	schema:Person	skos:exactMatch	res:associatedParty	associatedParty	par:ResponsibleParty	1	Definitions and types match.	semapv:ManualMappingCuration	2023-09-01	https://orcid.org/0000-0003-2261-9931
Roles of People (Contributor)	schema:contributor/schema:Role/schema:roleName	roleName	schema:Text schema:URL	skos:exactMatch	res:role	role	par:RoleType	1	Definitions and types match.	semapv:ManualMappingCuration	2023-09-01	https://orcid.org/0000-0003-2261-9931
Roles of People (Contributor)	schema:contributor/schema:Role/schema:description	description	schema:Text	skos:exactMatch	sssom:NoMapping			1	No match can be found.	semapv:ManualMappingCuration	2023-09-01	https://orcid.org/0000-0003-2261-9931
Roles of People (Contributor)	schema:contributor/schema:Role/schema:url	url	schema:URL	skos:exactMatch	sssom:NoMapping			1	No match can be found.	semapv:ManualMappingCuration	2023-09-01	https://orcid.org/0000-0003-2261-9931
Roles of People (Contributor)	schema:contributor/schema:Role/schema:sameAs	sameAs	schema:URL	skos:exactMatch	sssom:NoMapping			1	No match can be found.	semapv:ManualMappingCuration	2023-09-01	https://orcid.org/0000-0003-2261-9931
Roles of People (Contributor)	schema:contributor/schema:Role/schema:startDate	startDate	schema:Date schema:DateTime	skos:exactMatch	sssom:NoMapping			1	No match can be found.	semapv:ManualMappingCuration	2023-09-01	https://orcid.org/0000-0003-2261-9931
Roles of People (Contributor)	schema:contributor/schema:Role/schema:endDate	endDate	schema:Date schema:DateTime	skos:exactMatch	sssom:NoMapping			1	No match can be found.	semapv:ManualMappingCuration	2023-09-01	https://orcid.org/0000-0003-2261-9931
Roles of People (Contributor)	schema:contributor/schema:Role/schema:contributor/schema:Person/schema:url	url	schema:URL	skos:exactMatch	sssom:NoMapping			1	No match can be found.	semapv:ManualMappingCuration	2023-09-01	https://orcid.org/0000-0003-2261-9931
